job_dir,model,dataset,filename,vad,chunked,mean_wer,n_songs,insertions,deletions,substitutions
whisper_large_v3/musdb_alt_mix_cross_vad_stems,openai/whisper-large-v3,musdb_alt,mixture.wav,True,False,0.6884812234814667,39,1769,1266,3255
parakeet_tdt_0.6b_v3/musdb_alt_sep,nvidia/parakeet-tdt-0.6b-v3,musdb_alt,htdemucs_ft_vocals.wav,False,False,0.6938108578544375,39,458,3433,2477
parakeet_tdt_0.6b_v3/musdb_alt_sep_chunked,nvidia/parakeet-tdt-0.6b-v3,musdb_alt,htdemucs_ft_vocals.wav,False,True,0.6945575802879862,39,1975,928,3674
parakeet_tdt_0.6b_v3/musdb_alt_mix,nvidia/parakeet-tdt-0.6b-v3,musdb_alt,mixture.wav,False,False,0.6989733145493966,39,484,3444,2454
parakeet_tdt_0.6b_v3/musdb_alt_mix_chunked,nvidia/parakeet-tdt-0.6b-v3,musdb_alt,mixture.wav,False,True,0.6996533748897803,39,1784,1420,3451
whisper_large_v3/jam_alt_sep_vad,openai/whisper-large-v3,jam-alt,htdemucs_ft_vocals.wav,True,False,0.7093922513652823,79,3880,1999,6414
parakeet_tdt_0.6b_v3/final_test_mix_cross_vad,nvidia/parakeet-tdt-0.6b-v3,final_test,audio.mp3,True,False,0.7196017794728211,1746,41228,130851,166314
canary_1b_v2/musdb_alt_stems_chunked,nvidia/canary-1b-v2,musdb_alt,vocals.wav,False,True,0.7215470639520613,39,3405,290,3019
parakeet_tdt_0.6b_v3/final_test_sep_vad,nvidia/parakeet-tdt-0.6b-v3,final_test,htdemucs_ft_vocals.wav,True,False,0.7223283262132723,1770,42733,127857,174553
whisper_large_v3/jam_alt_sep_vad_chunked,openai/whisper-large-v3,jam-alt,htdemucs_ft_vocals.wav,True,True,0.7262797491137222,79,4454,2023,6414
parakeet_tdt_0.6b_v3/jam_alt_mix_chunked,nvidia/parakeet-tdt-0.6b-v3,jam-alt,audio.mp3,False,True,0.7326589877772386,79,5592,1186,6651
parakeet_tdt_0.6b_v3/jam_alt_sep_chunked,nvidia/parakeet-tdt-0.6b-v3,jam-alt,htdemucs_ft_vocals.wav,False,True,0.7332192107645749,79,5292,1275,6935
whisper_large_v3/jam_alt_mix_cross_vad,openai/whisper-large-v3,jam-alt,audio.mp3,True,False,0.7344958473108397,79,4351,1753,6398
parakeet_tdt_0.6b_v3/final_test_sep_vad_chunked,nvidia/parakeet-tdt-0.6b-v3,final_test,htdemucs_ft_vocals.wav,True,True,0.736622278435119,1764,54896,124749,176967
canary_1b_v2/musdb_alt_mix,nvidia/canary-1b-v2,musdb_alt,mixture.wav,False,False,0.740034243503528,39,1911,1636,3785
parakeet_tdt_0.6b_v3/musdb_alt_sep_vad,nvidia/parakeet-tdt-0.6b-v3,musdb_alt,htdemucs_ft_vocals.wav,True,False,0.7402699144014927,39,500,3314,2828
canary_1b_v2/musdb_alt_mix_cross_vad_stems,nvidia/canary-1b-v2,musdb_alt,mixture.wav,True,False,0.7435111599369779,39,996,1836,4016
parakeet_tdt_0.6b_v3/musdb_alt_sep_vad_chunked,nvidia/parakeet-tdt-0.6b-v3,musdb_alt,htdemucs_ft_vocals.wav,True,True,0.7444961607829895,39,650,3305,2812
canary_1b_v2/jam_alt_mix_cross_vad,nvidia/canary-1b-v2,jam-alt,audio.mp3,True,False,0.7458779800580541,79,2480,3170,8052
canary_1b_v2/jam_alt_sep_vad,nvidia/canary-1b-v2,jam-alt,htdemucs_ft_vocals.wav,True,False,0.7470198643000701,79,2665,3106,7719
parakeet_tdt_0.6b_v3/final_test_mix_chunked,nvidia/parakeet-tdt-0.6b-v3,final_test,audio.mp3,False,True,0.7486297189983289,1761,120210,55820,191433
parakeet_tdt_0.6b_v3/final_test_sep_chunked,nvidia/parakeet-tdt-0.6b-v3,final_test,htdemucs_ft_vocals.wav,False,True,0.7513096594907406,1765,120112,50394,198356
parakeet_tdt_0.6b_v3/musdb_alt_mix_cross_vad,nvidia/parakeet-tdt-0.6b-v3,musdb_alt,mixture.wav,True,False,0.7537233510091103,39,447,3643,2735
canary_1b_v2/jam_alt_sep_vad_chunked,nvidia/canary-1b-v2,jam-alt,htdemucs_ft_vocals.wav,True,True,0.7566871461051115,79,3436,2061,8252
